Month_Name,Sales_Amount,Profit,Quantity_Sold
April,438992.61,496006.82,1977
August,443171.28,558417.6900000001,2336
December,392643.58,590397.5499999999,2183
February,368919.36,478053.07999999996,2064
January,495420.37,677764.6000000001,2549
July,374242.88,447678.76000000007,1603
June,418458.34,605992.2000000001,2276
March,402638.77,528631.81,2069
May,389078.76,489472.1500000001,1968
November,467482.9,557812.06,2129
October,460378.77999999997,584679.83,2386
September,367837.6,472940.51999999996,1815
